Hari ke-,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,PM2.5_5,PM2.5_6,PM2.5_7,PM2.5_8,PM2.5_9,PM2.5_10,PM2.5_11,PM2.5_12,PM10_1,PM10_2,PM10_3,PM10_4,PM10_5,PM10_6,PM10_7,PM10_8,PM10_9,PM10_10,PM10_11,PM10_12,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8,CO_9,CO_10,CO_11,CO_12,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO2_8,NO2_9,NO2_10,NO2_11,NO2_12,SO2_1,SO2_2,SO2_3,SO2_4,SO2_5,SO2_6,SO2_7,SO2_8,SO2_9,SO2_10,SO2_11,SO2_12,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,O3_7,O3_8,O3_9,O3_10,O3_11,O3_12,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,Pb_1,Pb_2,Pb_3,Pb_4,Pb_5,Pb_6,Pb_7,Pb_8,Pb_9,Pb_10,Pb_11,Pb_12
1,32.70,30.32,39.08,52.07,50.47,43.43,3.50,48.86,42.95,16.55,10.40,41.61,93.95,90.56,107.39,139.68,136.76,120.75,12.00,134.01,121.19,52.71,33.58,114.71,"5,775.66","5,513.44","6,328.37","7,604.93","7,478.44","6,781.69",400.00,"7,378.82","6,874.15","4,014.16","2,731.33","6,578.60",130.45,125.28,151.66,191.51,186.14,166.00,5.00,181.13,162.82,80.61,54.15,157.07,106.99,103.29,126.17,169.37,161.59,142.68,4.00,158.83,139.77,55.67,35.68,135.79,168.66,163.39,187.31,223.21,218.10,203.22,20.00,217.40,201.74,121.59,83.02,194.25,69.37,65.99,76.69,96.14,92.36,84.74,4.00,92.46,82.58,46.76,29.89,79.53,0.71,0.70,0.79,0.96,0.94,0.86,0.02,0.92,0.86,0.51,0.34,0.82
2,38.60,42.00,66.47,77.90,85.08,59.70,28.96,68.76,45.87,43.04,17.72,59.60,107.58,115.95,173.95,201.00,216.87,158.28,85.51,177.15,125.01,120.47,55.60,164.14,"6,335.31","6,731.16","8,639.98","9,712.38","10,158.89","8,233.19","5,406.62","9,052.21","6,964.53","6,803.76","4,303.07","8,270.71",148.39,162.21,295.64,431.37,488.47,229.67,121.78,320.57,168.83,162.76,88.59,257.87,127.46,139.96,201.76,235.37,253.48,185.53,95.79,208.71,150.55,142.93,60.91,193.24,186.34,197.80,250.79,274.76,287.35,244.24,160.45,260.32,206.07,200.50,128.67,241.93,77.37,82.55,113.45,131.12,135.60,103.28,63.27,116.96,87.32,82.64,48.66,104.43,0.78,0.83,1.12,1.25,1.30,1.04,0.68,1.14,0.88,0.86,0.52,1.04
3,40.70,46.14,66.34,77.13,72.69,57.01,23.80,65.71,46.41,37.71,3.50,48.91,114.70,126.46,170.92,192.37,185.61,151.66,70.82,171.63,125.52,104.00,12.00,134.07,"6,570.23","7,029.43","8,729.67","9,678.64","9,128.31","8,000.00","4,773.80","8,794.37","7,093.72","6,183.15",400.00,"7,411.61",154.43,170.35,304.64,403.48,347.62,217.56,105.45,310.42,173.02,144.17,5.00,179.53,131.23,147.68,203.60,232.65,214.74,180.83,77.07,206.14,150.64,120.04,4.00,160.02,192.32,206.67,250.43,274.34,264.36,235.89,144.38,254.03,207.88,183.79,20.00,216.18,79.54,87.85,111.11,123.69,117.64,100.00,56.78,114.04,86.53,75.22,4.00,91.55,0.81,0.88,1.09,1.24,1.17,1.00,0.61,1.10,0.88,0.77,0.02,0.91
4,55.30,42.24,51.51,64.39,62.69,55.91,21.50,65.07,59.22,40.82,22.03,54.65,148.44,117.61,141.69,166.21,167.15,155.11,64.83,172.14,158.53,114.92,68.43,146.77,"8,000.00","6,641.74","7,575.29","8,662.17","8,658.51","8,176.07","4,472.68","8,700.50","8,140.80","6,619.15","4,609.91","7,852.64",200.00,161.23,186.93,286.65,264.27,225.66,93.96,301.72,239.78,156.41,98.65,195.06,178.48,138.29,165.94,200.96,197.90,188.42,67.71,208.52,185.25,133.09,73.26,176.13,233.08,198.74,222.50,248.83,249.35,238.04,133.72,256.21,241.72,195.00,141.24,230.12,98.88,81.87,95.62,110.57,107.57,102.41,51.55,111.90,105.68,80.66,54.00,98.42,1.00,0.84,0.96,1.10,1.09,1.02,0.57,1.12,1.03,0.82,0.59,0.99
5,60.00,46.70,58.02,71.17,65.72,54.86,22.41,60.41,46.19,34.93,13.18,69.03,162.25,130.42,162.00,181.09,172.18,150.00,69.04,162.83,126.53,100.51,42.40,177.15,"8,249.23","7,121.65","8,264.81","9,207.85","8,909.87","8,000.00","4,757.24","8,292.57","7,021.37","5,926.62","3,271.44","9,066.43",231.89,176.24,254.49,372.12,318.68,200.00,103.46,259.27,174.57,140.65,67.69,329.18,194.09,154.28,188.35,219.69,204.39,177.99,78.29,187.33,151.02,116.06,42.56,214.53,244.17,209.68,243.87,262.67,257.02,232.31,142.21,245.87,210.58,178.49,99.66,260.12,104.96,87.87,106.90,117.99,116.24,98.78,55.28,105.53,87.77,73.05,38.36,115.75,1.06,0.90,1.05,1.17,1.12,1.00,0.60,1.05,0.89,0.75,0.41,1.13
6,65.00,43.13,74.16,71.04,65.31,63.09,23.47,50.44,66.56,40.01,23.71,52.54,169.10,120.85,189.55,179.39,172.81,164.51,70.56,137.96,178.96,111.21,71.35,141.78,"8,610.61","6,788.74","9,344.54","8,978.79","8,757.59","8,689.81","4,840.94","7,491.02","8,832.86","6,370.83","4,946.47","7,690.51",281.10,165.02,366.09,349.30,311.61,269.84,103.93,186.34,338.75,152.31,106.83,190.48,200.75,142.44,226.00,211.73,202.02,197.55,80.86,164.12,210.50,127.75,81.45,169.60,249.10,199.16,265.09,260.07,254.29,248.37,144.98,220.50,259.34,188.83,145.62,224.62,113.18,83.67,123.55,117.64,110.48,109.90,56.01,93.23,113.60,78.41,56.45,95.42,1.08,0.86,1.20,1.16,1.12,1.07,0.60,0.94,1.13,0.80,0.61,0.96
7,40.00,38.28,47.78,53.55,56.68,52.10,12.22,46.46,43.00,28.14,7.98,40.84,112.10,107.37,131.26,146.39,150.60,143.51,41.10,127.37,119.89,81.16,25.31,116.47,"6,465.92","6,324.68","7,338.26","7,923.12","8,000.00","7,736.25","3,261.98","7,169.41","6,788.85","5,297.55","2,081.84","6,571.56",154.34,151.54,178.54,195.07,207.66,191.66,64.87,175.24,160.94,118.67,40.61,159.13,131.83,126.74,155.49,178.02,184.54,170.21,41.49,150.75,138.22,91.13,25.82,135.64,191.57,185.95,212.60,232.59,235.76,225.65,95.46,210.71,197.72,155.30,60.23,193.12,78.68,77.03,89.94,97.57,101.29,96.28,36.62,86.99,82.10,61.97,23.43,80.92,0.81,0.79,0.92,0.99,1.00,0.96,0.40,0.89,0.85,0.65,0.26,0.83
8,35.00,34.33,59.19,50.99,57.51,53.32,14.48,62.52,40.68,26.85,11.67,44.42,100.46,98.92,157.42,138.30,156.07,144.75,46.37,167.74,112.83,81.26,38.88,121.33,"5,976.67","5,960.35","8,234.87","7,610.65","8,018.32","7,672.82","3,700.62","8,476.59","6,505.14","5,171.77","3,008.68","6,851.25",138.42,136.87,224.61,186.76,217.64,193.32,73.06,266.84,156.32,117.67,60.98,166.05,116.73,111.34,188.58,165.31,184.97,171.09,47.58,194.97,134.71,88.27,39.14,143.63,174.95,173.38,238.81,220.52,237.95,229.20,113.04,248.55,192.93,152.33,89.59,201.81,71.87,71.86,102.36,93.77,101.43,95.52,41.63,107.32,78.75,61.29,34.45,83.64,0.75,0.73,1.05,0.95,1.02,0.97,0.46,1.07,0.82,0.65,0.37,0.85
9,57.80,39.77,65.28,67.36,64.99,68.00,21.58,62.31,61.77,44.16,17.96,51.36,156.26,112.41,171.76,175.70,171.05,181.24,66.23,165.28,162.01,124.49,56.69,140.85,"8,222.29","6,414.45","8,646.07","8,884.61","8,708.59","8,889.68","4,608.31","8,696.45","8,644.30","6,902.96","4,262.71","7,530.13",232.76,152.76,279.40,336.16,298.87,329.83,100.74,281.22,275.47,165.64,87.63,186.11,185.68,128.87,203.74,209.24,204.82,212.90,73.20,194.79,194.21,145.06,60.10,167.35,236.34,192.30,251.84,256.77,253.82,260.30,137.00,246.69,250.03,204.02,129.06,220.73,101.71,79.29,110.18,116.17,112.82,117.74,54.80,108.79,109.35,84.49,49.03,94.29,1.03,0.80,1.11,1.16,1.11,1.15,0.58,1.09,1.08,0.87,0.54,0.94
10,69.20,42.81,63.26,76.03,72.83,49.58,23.40,58.31,49.71,48.99,15.50,57.83,176.27,120.50,169.11,195.17,180.34,135.36,71.20,154.18,136.28,133.46,50.89,151.69,"8,899.83","6,802.12","8,716.77","9,706.37","9,128.41","7,412.08","4,788.84","8,000.00","7,502.60","7,363.86","4,074.60","8,000.00",338.60,163.61,292.77,394.96,372.47,181.36,105.72,200.00,182.63,180.68,80.00,200.00,208.90,142.15,203.64,227.56,218.63,158.84,76.09,181.56,163.58,159.95,52.00,183.01,261.41,198.81,252.34,274.96,265.32,214.82,143.61,239.96,219.81,216.75,121.47,239.50,116.13,82.87,111.61,126.87,121.22,90.73,55.85,103.48,92.05,90.77,45.00,102.94,1.16,0.84,1.11,1.24,1.17,0.91,0.60,1.02,0.93,0.92,0.51,1.02
